Date,Close/Last,Volume,Open,High,Low
09/23/2022,21.31,280652000,21.795,21.86,20.45
09/22/2022,22.38,215542000,22.85,23.11,22.07
09/21/2022,23.24,295557600,24.81,25.92,23.23
09/20/2022,24.59,161059300,24.53,25.19,23.98
09/19/2022,25.19,151346300,23.94,25.23,23.92
09/16/2022,24.60,196071800,24.21,24.73,23.67
09/15/2022,25.09,196865300,25.88,26.55,24.65
09/14/2022,26.42,154645900,26.125,26.67,25.64
09/13/2022,25.84,195648300,28.24,28.61,25.56
09/12/2022,30.93,136570600,30.30,31.03,30.19
09/09/2022,29.84,149367900,28.68,30.02,28.66
09/08/2022,28.06,205399900,27.03,28.415,26.64
09/07/2022,27.61,165784800,26.18,27.90,26.11
09/06/2022,26.07,180541700,26.76,27.0199,25.46
09/02/2022,26.68,227231500,28.64,29.04,26.17
09/01/2022,27.84,198660200,27.08,27.93,26.02
08/31/2022,27.81,170515300,29.155,29.40,27.7729
08/30/2022,28.33,163507400,29.79,29.95,27.56
08/29/2022,29.31,124220500,29.35,30.12,28.9588
08/26/2022,30.24,183138300,34.345,34.74,30.20
08/25/2022,34.43,111026300,33.28,34.44,32.94
08/24/2022,32.71,93502800,32.30,33.30,32.105
08/23/2022,32.46,109754900,32.431,33.35,32.20
08/22/2022,32.57,112487700,33.89,33.97,32.26
08/19/2022,35.35,112128300,36.48,36.7002,35.065
08/18/2022,37.55,96070430,37.26,37.96,36.69
08/17/2022,37.30,131419200,37.51,38.3278,36.55
08/16/2022,38.64,110377900,38.56,39.38,37.53
08/15/2022,38.89,98154220,37.65,39.08,37.64
08/12/2022,37.98,105593500,36.60,38.05,36.235
08/11/2022,35.95,136680500,37.33,38.02,35.67
08/10/2022,36.50,135777200,36.135,36.64,35.31
08/09/2022,33.73,109203000,34.28,34.37,33.19
08/08/2022,34.93,134380400,35.60,36.83,34.435
08/05/2022,35.29,141949300,34.43,35.98,34.15
08/04/2022,36.15,126783600,35.69,36.265,34.96
08/03/2022,35.64,147106900,33.55,35.95,33.31
08/02/2022,33.00,162687500,32.54,34.3499,32.21
08/01/2022,33.31,142641500,32.78,34.42,32.4399
07/29/2022,33.36,146073200,32.13,33.65,31.6702
07/28/2022,31.62,162035900,30.675,31.82,29.52
07/27/2022,30.74,170959500,28.60,31.25,28.43
07/26/2022,27.33,115877800,28.49,28.57,27.05
07/25/2022,29.09,110448800,29.53,29.67,28.41
07/22/2022,29.53,149400400,30.88,31.53,28.95
07/21/2022,31.16,159690900,30.01,31.175,29.22
07/20/2022,29.89,188563100,28.66,30.25,28.44
07/19/2022,28.46,149321700,27.15,28.62,26.6907
07/18/2022,26.17,159950200,27.61,28.00,25.82
07/15/2022,26.79,154380200,26.27,26.85,25.81
07/14/2022,25.45,175823500,24.465,25.68,23.62
07/13/2022,25.19,180575500,23.84,25.83,23.69
07/12/2022,25.35,159616500,26.44,26.98,24.9099
07/11/2022,26.11,129224100,27.20,27.27,25.86
07/08/2022,27.89,159729200,26.99,28.31,26.71
07/07/2022,27.76,137866300,26.38,28.00,26.37
07/06/2022,26.14,206122900,25.77,26.72,25.28
07/05/2022,25.65,220554000,23.41,25.68,23.00
07/01/2022,24.39,208600400,23.60,24.50,23.10
06/30/2022,24.00,256203900,24.06,24.89,22.75
06/29/2022,24.88,190091100,24.78,25.2899,24.10
06/28/2022,24.83,188120400,27.46,28.21,24.76
06/27/2022,27.32,169131000,28.35,28.50,27.00
06/24/2022,27.98,151817500,26.112,28.04,26.0501
06/23/2022,25.33,182686400,24.94,25.57,24.17
06/22/2022,24.29,194486800,23.71,25.45,23.55
06/21/2022,24.38,159204100,23.815,24.98,23.78
06/17/2022,22.67,220590500,22.07,23.28,21.65
06/16/2022,21.86,212142200,22.99,23.12,21.32
06/15/2022,24.90,274911500,24.06,25.92,23.34
06/14/2022,23.23,196600500,23.64,23.87,22.52
06/13/2022,23.08,213365700,24.27,24.98,22.82
06/10/2022,26.79,171676100,28.255,28.62,26.67
06/09/2022,29.99,137979700,32.07,33.06,29.932
06/08/2022,32.65,112853000,33.075,33.94,32.33
06/07/2022,33.33,137443300,31.42,33.595,31.05
06/06/2022,32.54,150479300,33.615,34.13,32.00
06/03/2022,32.14,162361900,33.14,33.63,31.76
06/02/2022,34.90,168430700,31.92,34.98,31.45
06/01/2022,32.28,199447100,33.71,34.43,31.55
05/31/2022,33.05,184579300,33.30,34.00,31.7312
05/27/2022,33.29,157517900,31.295,33.3392,31.27
05/26/2022,30.32,168565800,27.76,30.78,27.68
05/25/2022,27.98,180641900,26.44,28.60,26.385
05/24/2022,26.90,183244300,27.145,27.36,25.425
05/23/2022,28.69,170520300,27.65,28.83,26.96
05/20/2022,27.34,229055600,28.65,28.8399,24.93
05/19/2022,27.58,196007800,27.54,29.02,27.04
05/18/2022,28.15,164052600,31.46,31.69,27.69
05/17/2022,32.96,153990700,32.43,33.08,31.2395
05/16/2022,30.65,159194000,31.13,31.78,30.18
05/13/2022,31.63,197974000,29.85,32.00,29.38
05/12/2022,28.53,295496500,27.43,29.89,26.69
05/11/2022,28.76,264765900,30.85,32.60,28.47
05/10/2022,31.57,231789800,32.715,33.08,30.28
05/09/2022,30.52,210209900,32.56,33.42,30.01
05/06/2022,34.61,233397200,35.09,36.53,33.10
05/05/2022,35.86,227776300,40.50,40.51,34.52
05/04/2022,42.14,219403400,38.49,42.45,36.53
05/03/2022,38.34,142782800,38.19,39.1694,37.30
05/02/2022,38.25,155952800,36.25,38.28,35.13
04/29/2022,36.53,160058400,40.39,41.769,36.20
04/28/2022,42.06,172349200,39.825,42.73,38.28
04/27/2022,38.04,158349300,38.17,40.22,37.37
04/26/2022,38.21,166131600,42.22,42.29,38.10
04/25/2022,43.05,166439400,40.81,43.16,40.31
04/22/2022,41.51,124412400,45.05,45.57,41.28
04/21/2022,45.09,134313200,49.64,50.77,44.59
04/20/2022,47.90,107814700,50.57,50.74,47.44
04/19/2022,50.16,86186330,46.73,50.4199,46.31
04/18/2022,47.13,87762700,46.47,48.01,45.82
04/14/2022,47.00,83921770,50.42,50.65,46.8305
04/13/2022,50.39,95042310,47.66,50.835,47.33
04/12/2022,47.54,123964100,50.16,50.975,46.89
04/11/2022,48.16,92957250,49.83,50.27,47.95
04/08/2022,51.84,102091200,53.22,53.59,51.50
04/07/2022,54.05,114827000,53.23,55.0889,51.58
04/06/2022,53.70,148429900,54.82,55.3688,52.40
04/05/2022,57.48,86048820,60.82,61.16,56.86
